,lon,lat
0,,
1,37.615561,55.741469
2,37.633753,55.670526
3,,
4,37.385791,55.841704
5,,
6,37.615561,55.741469
7,37.615561,55.741469
8,,
9,37.615561,55.741469
10,,
11,113.968605,62.52723
12,37.56315,55.784225
13,37.482763,55.838508
14,,
15,37.666842,55.649605
16,37.615561,55.741469
17,37.564001,55.84773
18,37.615561,55.741469
19,37.615561,55.741469
20,37.615561,55.741469
21,37.615561,55.741469
22,37.615561,55.741469
23,37.615561,55.741469
24,37.587942,55.894333
25,37.615561,55.741469
26,37.666842,55.649605
27,37.615561,55.741469
28,37.615561,55.741469
29,37.615561,55.741469
30,37.615561,55.741469
31,37.615561,55.741469
32,37.694135,55.792268
33,37.615561,55.741469
34,36.753375,55.586204
35,37.502104,55.673702
36,37.615561,55.741469
37,,
38,,
39,37.615561,55.741469
40,37.615561,55.741469
41,37.615561,55.741469
42,37.509319,55.74475
43,37.615561,55.741469
44,,
45,,
46,37.615561,55.741469
47,37.615561,55.741469
48,,
49,37.536157,55.746824
50,37.539525,55.74688
51,,
52,37.620458,55.768865
53,37.615561,55.741469
54,,
55,37.615561,55.741469
56,,
57,37.615561,55.741469
58,37.609029,55.754882
59,37.53003,55.691476
60,37.615561,55.741469
61,81.825181,51.974876
62,37.537677,55.796092
63,37.615561,55.741469
64,37.615561,55.741469
65,37.615561,55.741469
66,37.581409,55.747475
67,37.615561,55.741469
68,,
69,37.623571,55.680128
70,,
71,,
72,37.615561,55.741469
73,,
74,37.615561,55.741469
75,,
76,37.615561,55.741469
77,37.615561,55.741469
78,37.615561,55.741469
79,,
80,37.615561,55.741469
81,,
82,37.615561,55.741469
83,37.615561,55.741469
84,37.615561,55.741469
85,,
86,37.332573,55.806782
87,,
88,37.615561,55.741469
89,37.531538,55.784429
90,37.615561,55.741469
91,37.615561,55.741469
92,37.615561,55.741469
93,37.615561,55.741469
94,37.615561,55.741469
95,37.615561,55.741469
96,37.666842,55.649605
97,37.762401,55.660346
98,37.53489,55.608817
99,37.615561,55.741469
100,37.615561,55.741469
101,37.615561,55.741469
102,,
103,37.615561,55.741469
104,37.615561,55.741469
105,,
106,37.615561,55.741469
107,36.753375,55.586204
108,37.615561,55.741469
109,,
